symbol,open,high,low,close,volume,trade_count,vwap,volatility,weights
AESI,25.0,26.86,24.63,25.02,2904968.0,26020.0,25.455691,0.13703628150747194,0.007454035629165009
AMZN,234.29,241.77,233.98,238.15,41587987.0,542350.0,238.630232,0.0880281373954771,0.01160394113822821
ARCC,23.3,23.55,23.3,23.54,4659192.0,28885.0,23.46842,0.04255393412653594,0.024004204213118982
AS,30.55,31.97,30.55,31.9,2707354.0,30008.0,31.571566,0.14171391683269527,0.007207995853017834
AZPN,263.45,264.43,263.3,264.0,1034011.0,22466.0,263.627226,0.05594710554921039,0.018257840415828237
BAM,59.39,61.255,58.8375,61.09,1700147.0,19534.0,60.492466,0.1296483318732679,0.007878800367778575
BK,85.41,86.69,85.39,86.34,3248266.0,42342.0,86.213852,0.11860549312582876,0.008612361012329327
BOOT,169.75,173.97,168.29,173.97,555803.0,14554.0,172.94518,0.13212067036412165,0.0077313665002593755
BR,239.67,241.4499,237.75,237.91,390108.0,12625.0,238.568856,0.07250490296336874,0.014088334486304395
BRBR,79.1,80.06,77.99,78.15,834473.0,16430.0,78.525187,0.11725813651152665,0.008711321493196077
BSX,102.28,102.93,101.64,102.32,7905069.0,74363.0,102.255125,0.07376677696554575,0.013847335709435716
BTSG,23.68,23.81,22.4,22.73,1767512.0,16284.0,22.86477,0.20218719157714057,0.005052116886718111
BYD,75.81,77.29,75.81,77.13,841890.0,14786.0,76.847237,0.0571449977735283,0.017875113564501117
CAH,130.84,131.29,127.5,127.73,2024587.0,36962.0,128.515435,0.06692381669947466,0.015263225787494577
CBNK,29.95,31.885,29.95,30.82,49493.0,1240.0,30.948038,0.12433169961466041,0.008215711101921878
CBRE,142.87,143.69,142.03,142.6,1960181.0,31429.0,142.691177,0.13080992981453834,0.007808836273310607
CBZ,85.31,86.55,85.23,85.68,159160.0,4286.0,85.790876,0.07112099897279169,0.014362471556899254
CEPO,10.072,10.072,10.06,10.06,816.0,28.0,10.0624,0.0048934433399850045,0.20874326192731843
CHEF,54.3,55.055,53.86,54.72,244829.0,6827.0,54.680132,0.07829464356285536,0.01304652883469528
CLBT,23.2,24.32,22.78,24.17,3066294.0,22039.0,23.882942,0.1450742169426389,0.007041039726920349
CRWD,372.67,411.2999,372.57,408.68,8247216.0,191108.0,403.313182,0.17187668986562252,0.0059430590945380385
CYBR,365.19,375.855,357.8,375.5,507990.0,17129.0,370.758168,0.0965425806570747,0.010580547131563832
DDS,475.19,492.9899,471.46,475.94,99052.0,7537.0,478.711642,0.1398732032591601,0.0073028521621283935
DE,482.41,485.84,476.32,479.99,1642411.0,41056.0,480.286089,0.1078573595716469,0.009470594578819103
DRI,191.83,194.7,191.48,192.4,931951.0,20075.0,192.798609,0.19248221971002,0.005306845101765038
DVA,175.33,178.75,172.33,173.21,658829.0,15929.0,174.492434,0.09475220931781284,0.010780469734682493
